cod_empresa;cod_parte;cod_processo;cod_advparte;cod_usuario;migracao;parte_principal;ativo;unificador_cliente;cod_cliente_removido;unificador_processo;cod_processo_removido;migracao2;migracao3
92577;6203993;9409788;;302720;;;1;;;0;0;;
92577;6203993;9397410;;302720;;;1;;;0;0;;
92577;9863413;9949228;;301340;;;1;;;0;0;;
92577;9996236;9885717;;301340;;;1;;;0;0;;
92577;9863413;4753793;;347394;;;1;;;0;0;;
92577;8721447;5220250;;301340;;;1;;;0;0;;
92577;9893478;9901924;;301340;;1;1;;;0;0;;
92577;6203993;10374875;;301340;;;1;;;0;0;;
92577;9863413;10231361;;301340;;1;1;;;0;0;;
92577;7541692;8049253;;301340;;1;1;;;0;0;;
92577;6203993;10374875;;301340;;;1;;;0;0;;
92577;10794249;10860709;;301340;;;1;;;0;0;;
92577;7532772;10817309;;301340;;1;1;;;0;0;;
92577;7263562;9743674;;302720;;;1;;;0;0;;
92577;8752622;9743674;;301340;;1;1;;;0;0;;
92577;6203993;10192614;;301340;;1;1;;;0;0;;
92577;6203993;10192614;;301340;;1;1;;;0;0;;
92577;6203993;10374907;;301340;;0;2;;;0;0;;
92577;10424621;6743267;;301340;;0;2;;;0;0;;
92577;0;6743267;;301340;;;1;;;0;0;;
92577;10424621;6743267;;301340;;;1;;;0;0;;
92577;7263562;8819704;;301340;;1;1;;;0;0;;
92577;5069697;8819704;;301340;;0;1;;;0;0;;
92577;7541692;8048173;;301340;;1;1;;;0;0;;
92577;0;10374875;;302720;;;1;;;0;0;;
92577;11051680;11149628;;301340;;;1;;;0;0;;
92577;11121150;12135785;;301340;;;1;;;0;0;;
92577;11121150;11215191;;301340;;;1;;;0;0;;
92577;6203993;10374907;;302720;;0;2;;;0;0;;
92577;10794249;12119673;;301340;;;1;;;0;0;;
92577;10794249;12471689;;302720;;;1;;;0;0;;
92577;12309377;9384588;;301340;;;1;;;0;0;;
92577;11121150;8330077;;301340;;;1;;;0;0;;
92577;8721447;12622627;;301340;;;1;;;0;0;;
92577;9893478;12635520;;301340;;;1;;;0;0;;
92577;11051680;12853268;;301340;;1;1;;;0;0;;
92577;11051680;13200194;;302720;;;1;;;0;0;;
92577;9863413;11940257;;301340;;;1;;;0;0;;
92577;9893478;13833160;;301340;;;1;;;0;0;;
92577;11051680;12890836;;301340;;1;1;;;0;0;;
92577;12632857;12902286;;301340;;;1;;;0;0;;
92577;11051680;12890836;;301340;;;1;;;0;0;;
92577;6203993;10238402;;559945;;;1;;;0;0;;
92577;15441751;16442479;;301340;;;1;;;0;0;;
92577;10794249;13772113;;301340;;;1;;;0;0;;
92577;9863413;12989663;;301340;;;1;;;0;0;;
92577;6203993;14060338;;301340;;;1;;;0;0;;
92577;6203993;14070271;;301340;;;1;;;0;0;;
92577;10794249;12795747;;301340;;;1;;;0;0;;
92577;10794249;4627363;;301340;;;1;;;0;0;;
92577;10794249;14557370;;301340;;;1;;;0;0;;
92577;9893478;14111657;;301340;;;1;;;0;0;;
92577;6203993;10230298;;301340;;1;1;;;0;0;;
92577;6203993;10227950;;301340;;1;1;;;0;0;;
92577;6203993;10668732;;301340;;1;1;;;0;0;;
92577;6203993;13062732;;301340;;;1;;;0;0;;
92577;6203993;15875719;;301340;;;1;;;0;0;;
92577;15470333;15876465;;301340;;;1;;;0;0;;
92577;6203993;10230298;;301340;;;1;;;0;0;;
92577;15299763;15572025;;301340;;;1;;;0;0;;
92577;15441751;15824091;;301340;;;1;;;0;0;;
92577;6203993;10230343;;301340;;;1;;;0;0;;
92577;15309029;15698376;;301340;;1;1;;;0;0;;
92577;9893478;15672155;;301340;;;1;;;0;0;;
92577;6203993;16601756;;301340;;;1;;;0;0;;
92577;6203993;16338827;;301340;;;1;;;0;0;;
92577;6203993;16352374;;301340;;;1;;;0;0;;
92577;6203993;16352394;;301340;;;1;;;0;0;;
92577;6203993;16226792;;301340;;;1;;;0;0;;
92577;15441751;16060942;;301340;;;1;;;0;0;;
92577;15441751;16061413;;301340;;;1;;;0;0;;
92577;6203993;16272185;;301340;;;1;;;0;0;;
92577;10794249;16296505;;559945;;;1;;;0;0;;
92577;6203993;16151795;;301340;;;1;;;0;0;;
92577;6203993;16313228;;301340;;;1;;;0;0;;
92577;16252848;16687014;;559945;;;1;;;0;0;;
92577;6203993;16724373;;301340;;;1;;;0;0;;
92577;15441751;100267537;;301340;;;1;;;0;0;;
92577;15441751;16798365;;559945;;;1;;;0;0;;
92577;9893478;100458588;;301340;;;1;;;0;0;;
92577;15441751;100786370;;301340;;;1;;;0;0;;
92577;100438094;100471609;;301340;;;1;;;0;0;;
92577;15441751;100267537;;301340;;1;1;;;0;0;;
92577;6203993;100484257;;301340;;;1;;;0;0;;
92577;100297059;100315940;;301340;;;1;;;0;0;;
92577;100297059;100501205;;301340;;;1;;;0;0;;
92577;9893478;12895069;;301340;;;1;;;0;0;;
92577;15441751;16928975;;301340;;;1;;;0;0;;
92577;8721447;100051579;;301340;;;1;;;0;0;;
92577;100051374;100034256;;301340;;;1;;;0;0;;
92577;100297059;100798250;;559945;;;1;;;0;0;;
92577;6203993;15302028;;301340;;;1;;;0;0;;
92577;100297059;100890988;;559945;;;1;;;0;0;;
92577;6203993;101258026;;559945;;;1;;;0;0;;
92577;100438094;101056661;;301340;;;1;;;0;0;;
92577;8382631;101216286;;301340;;;1;;;0;0;;
92577;6203993;101654992;;301340;;;1;;;0;0;;
92577;6203993;102238458;;301340;;;1;;;0;0;;
92577;15441751;102274114;;559945;;;1;;;0;0;;
92577;9863413;101941752;;559945;;;1;;;0;0;;
92577;15441751;102671983;;347394;;;1;;;0;0;;
92577;100297059;102328003;;301340;;;1;;;0;0;;
92577;9893478;102883926;;301340;;;1;;;0;0;;
92577;101913632;102070165;;301340;;;1;;;0;0;;
92577;101913632;102070724;;301340;;;1;;;0;0;;
92577;15441751;102842275;;301340;;;1;;;0;0;;
92577;101980241;102435056;;301340;;;1;;;0;0;;
92577;100438094;102634516;;301340;;;1;;;0;0;;
92577;101980241;102107318;;559945;;;1;;;0;0;;
92577;9893478;102356976;;301340;;;1;;;0;0;;
92577;100438094;103019341;;301340;;;1;;;0;0;;
92577;15441751;103324837;;301340;;;1;;;0;0;;
92577;9893478;103067874;;301340;;;1;;;0;0;;
92577;100297059;103631732;;301340;;;1;;;0;0;;
92577;6203993;16192447;;301340;;;1;;;0;0;;
92577;6203993;103836577;;301340;;;1;;;0;0;;
92577;100438094;103844052;;301340;;;1;;;0;0;;
92577;6203993;103903654;;301340;;;1;;;0;0;;
92577;6203993;104385129;;301340;;;1;;;0;0;;
92577;103953123;104355434;;301340;;;1;;;0;0;;
92577;6203993;103938274;;559945;;;1;;;0;0;;
92577;100297059;104417400;;301340;;;1;;;0;0;;
92577;100438094;104675494;;301340;;;1;;;0;0;;
92577;9893478;104692283;;301340;;;1;;;0;0;;
92577;9863413;104816897;;301340;;;1;;;0;0;;
92577;100297059;105161414;;301340;;;1;;;0;0;;
92577;100297059;105063644;;559945;;;1;;;0;0;;
92577;100297059;105129499;;301340;;;1;;;0;0;;
92577;100297059;105158091;;301340;;;1;;;0;0;;
92577;11051680;12853268;;301340;;;1;;;0;0;;
92577;11051680;14537070;;301340;;;1;;;0;0;;
92577;104864968;105379194;;301340;;;1;;;0;0;;
92577;100297059;105490461;;559945;;;1;;;0;0;;
92577;104864968;105641364;;301340;;;1;;;0;0;;
92577;101980241;104998752;;301340;;;1;;;0;0;;
92577;100297059;105554847;;301340;;;1;;;0;0;;
92577;100297059;105577814;;301340;;;1;;;0;0;;
92577;104864968;105424284;;559945;;;1;;;0;0;;
92577;104864968;105424074;;559945;;;1;;;0;0;;
92577;104864968;105424295;;559945;;;1;;;0;0;;
92577;6203993;105668407;;100097650;;;1;;;0;0;;
92577;104864968;105709442;;301340;;;1;;;0;0;;
92577;104864968;105489390;;301340;;;1;;;0;0;;
92577;104864968;105792666;;301340;;;1;;;0;0;;
92577;9863413;106009076;;301340;;;1;;;0;0;;
92577;105422015;106009454;;301340;;;1;;;0;0;;
92577;100438094;105973154;;301340;;;1;;;0;0;;
92577;100297059;106243700;;301340;;;1;;;0;0;;
92577;100297059;106202384;;347394;;;1;;;0;0;;
92577;105737824;106237747;;559945;;;1;;;0;0;;
92577;100297059;106522920;;301340;;;1;;;0;0;;
92577;100297059;106536761;;301340;;;1;;;0;0;;
92577;105814346;106454264;;301340;;1;1;;;0;0;;
